Address,City,State,Zip,Qty,Service,Size,Freq.
9101 N TARRANT PKWY,North Richland Hills,TX,76182,1,Trash,4 Yard,2x/week
921 SW WILSHIRE BLVD,Burleson,TX,76028,1,Trash,4 Yard,3x/week
941 W BELT LINE RD,Desoto,TX,75115,1,Trash,6 Yard,2x/week
9420 Diana Dr,El Paso,TX,79924,1,Trash,8 Yard,2x/week
9431 ALAMEDA AVE,El Paso,TX,79907,1,Trash,8 Yard,1x/week
9445 F.M. 1960,Humble,TX,77338,1,Trash,6 Yard,2x/week
9450 W SAM HOUSTON PKWY S,Houston,TX,77099,1,Trash,6 Yard,2x/week
950 N WALNUT CREEK DR,Mansfield,TX,76063,1,Trash,4 Yard,2x/week
9504 CLIFFORD ST,Fort Worth,TX,76108,1,Trash,6 Yard,2x/week
9530 Culebra Rd,San Antonio,TX,78251,1,Trash,8 Yard,1x/week
960 East S.H. 121 Business,Lewisville,TX,75057,1,Trash,8 Yard,2x/week
9612 ROWLETT RD,Houston,TX,77075,1,Trash,6 Yard,2x/week
9727 Hwy 6,Missouri City,TX,77459,1,Trash,8 Yard,2x/week
9926 Lake Creek Parkway,Austin,TX,78729,1,Trash,4 Yard w/ Casters,3x/week
9926 Lake Creek Parkway,Austin,TX,78729,1,OCC-Recycling,4 Yard w/ Casters,3x/week
9941 North Loop Dr,Socorro,TX,79937,1,Trash,6 Yard,3x/week
